date,btc_dominance,event_name,category,severity,region,event_flag
2023-05-26,47.80940415815738,,,,,0
2023-05-27,47.8889340951184,,,,,0
2023-05-28,48.32737178904023,,,,,0
2023-05-29,48.17582271214267,,,,,0
2023-05-30,47.992349762451056,,,,,0
2023-05-31,47.89302719092887,,,,,0
2023-06-01,47.61623744580169,,,,,0
2023-06-02,47.536952392255,,,,,0
2023-06-03,47.474373522139246,,,,,0
2023-06-04,47.52308759168968,,,,,0
2023-06-05,47.31262954962311,,,,,0
2023-06-06,48.11768925107122,,,,,0
2023-06-07,48.06430520507261,,,,,0
2023-06-08,48.08339806260189,,,,,0
2023-06-09,48.23115614817859,,,,,0
2023-06-10,49.062983817991686,,,,,0
2023-06-11,49.1515478705801,,,,,0
2023-06-12,49.18765736569628,,,,,0
2023-06-13,49.10822675477797,,,,,0
2023-06-14,49.13607845207617,,,,,0
2023-06-15,49.48866545363279,,,,,0
2023-06-16,49.75205530843323,,,,,0
2023-06-17,49.7031180142843,,,,,0
2023-06-18,49.65658778383953,,,,,0
2023-06-19,49.97677887810511,,,,,0
2023-06-20,50.752551517173735,,,,,0
2023-06-21,51.34549714436689,,,,,0
2023-06-22,51.432975553361125,,,,,0
2023-06-23,51.70924969769816,,,,,0
2023-06-24,51.80633370510026,,,,,0
2023-06-25,51.51177509414987,,,,,0
2023-06-26,51.714994904293455,,,,,0
2023-06-27,51.78579660076908,,,,,0
2023-06-28,52.03064508790087,,,,,0
2023-06-29,52.01918438296113,,,,,0
2023-06-30,51.18138511770982,,,,,0
2023-07-01,51.1921088413143,,,,,0
2023-07-02,51.10131104059879,,,,,0
2023-07-03,51.36101021314039,,,,,0
2023-07-04,51.26960452917351,,,,,0
2023-07-05,51.36729514951238,,,,,0
2023-07-06,51.504262664356105,,,,,0
2023-07-07,51.56220808417339,,,,,0
2023-07-08,51.53743863052196,,,,,0
2023-07-09,51.50373318057015,,,,,0
2023-07-10,51.4712017595028,,,,,0
2023-07-11,51.60055332409592,,,,,0
2023-07-12,51.48154564925137,,,,,0
2023-07-13,50.14125965930796,,,,,0
2023-07-14,50.03689742506565,,,,,0
2023-07-15,50.00793188813899,,,,,0
2023-07-16,50.11262220373814,,,,,0
2023-07-17,50.07907849994242,,,,,0
2023-07-18,50.00243869557257,,,,,0
2023-07-19,49.91125954224884,,,,,0
2023-07-20,49.795197755011394,,,,,0
2023-07-21,49.86295331808847,,,,,0
2023-07-22,50.11151762770345,,,,,0
2023-07-23,50.14599903617096,,,,,0
2023-07-24,49.91648530506372,,,,,0
2023-07-25,49.88396624688312,,,,,0
2023-07-26,49.812244564927504,,,,,0
2023-07-27,49.75119758177808,,,,,0
2023-07-28,49.70246688468601,,,,,0
2023-07-29,49.63753917665709,,,,,0
2023-07-30,49.734110605760826,,,,,0
2023-07-31,49.81482458016234,,,,,0
2023-08-01,50.08124352386009,,,,,0
2023-08-02,50.02431506751497,,,,,0
2023-08-03,50.32053274529941,,,,,0
2023-08-04,50.37566161012956,,,,,0
2023-08-05,50.26508850519911,,,,,0
2023-08-06,50.33008556764057,,,,,0
2023-08-07,50.460137303586485,,,,,0
2023-08-08,50.64090613490701,,,,,0
2023-08-09,50.46379693658384,,,,,0
2023-08-10,50.43612409558982,,,,,0
2023-08-11,50.45291837640077,,,,,0
2023-08-12,50.45208486910979,,,,,0
2023-08-13,50.21979605128893,,,,,0
2023-08-14,50.24517654726569,,,,,0
2023-08-15,50.45168053682323,,,,,0
2023-08-16,50.3598220420989,,,,,0
2023-08-17,49.8385450929804,,,,,0
2023-08-18,49.22373628465467,,,,,0
2023-08-19,49.087099374260326,,,,,0
2023-08-20,49.00258983428712,,,,,0
2023-08-21,49.1561821338274,,,,,0
2023-08-22,49.355688074638216,,,,,0
2023-08-23,49.21196721318108,,,,,0
2023-08-24,49.19947348252274,,,,,0
2023-08-25,49.16397018354122,,,,,0
2023-08-26,49.17992123465766,,,,,0
2023-08-27,49.135999920171,,,,,0
2023-08-28,49.18414449782958,,,,,0
2023-08-29,49.857649885970254,,,,,0
2023-08-30,49.8016292955904,,,,,0
2023-08-31,49.18237511705272,,,,,0
2023-09-01,49.22137616853343,,,,,0
2023-09-02,49.23171300294123,,,,,0
2023-09-03,49.32814098216273,,,,,0
2023-09-04,49.19398305715731,,,,,0
2023-09-05,49.13606581911626,,,,,0
2023-09-06,49.11591166322067,,,,,0
2023-09-07,49.440000251295366,,,,,0
2023-09-08,49.26031488701002,,,,,0
